"Function","File"
"Resolve-LogLevel","Logger.psm1"
"Initialize-LogDirectories","Logger.psm1"
"Initialize-ScapeLogger","Logger.psm1"
"Write-ScapeLogRecord","Logger.psm1"
"_EnrichWithCallerInfo","Logger.psm1"
"_RotateLogIfNeeded","Logger.psm1"
"Close-ScapeLogStream","Logger.psm1"
"Get-ScapeActiveLogFile","Logger.psm1"
"Initialize-ScapePipeline","Pipeline.psm1"
"Add-ScapePipelineArtifact","Pipeline.psm1"
"Add-ScapePipelineRecord","Pipeline.psm1"
"Get-ScapePipelineStat","Pipeline.psm1"
"Initialize-ScapeTelemetry","Telemetry.psm1"
"Get-ScapeTelemetryCpu","Telemetry.psm1"
"Get-ScapeTelemetryRam","Telemetry.psm1"
"Get-ScapeTelemetryThermal","Telemetry.psm1"
"Get-ScapeTelemetryIo","Telemetry.psm1"
"Get-ScapeTelemetrySnapshot","Telemetry.psm1"
"Invoke-ScapeTelemetryWorkflow","Telemetry.psm1"
"Initialize-ScapeWatchdog","Watchdog.psm1"
"Update-ScapeHeartbeat","Watchdog.psm1"
"Test-ScapeUiEventCategory","Dispatcher.psm1"
"Format-ScapeProgressBar","Dispatcher.psm1"
"Format-ScapeTransientMessage","Dispatcher.psm1"
"Convert-ScapeEventDataToRender","Dispatcher.psm1"
"Convert-ScapeTreeToRender","Dispatcher.psm1"
"Invoke-ScapeDirectoryPicker","FilePicker.psm1"
"Initialize-ScapeGeometry","Geometry.psm1"
"Get-ScapeMenuLayout","Geometry.psm1"
"Get-ScapeFrameCoordinates","Geometry.psm1"
"Get-ScapeGridCoordinates","Geometry.psm1"
"Invoke-ScapeStringClip","Geometry.psm1"
"Get-ScapeClampedCoordinate","Geometry.psm1"
"Get-ScapePlainTextLength","Geometry.psm1"
"Get-ScapeVisualWidth","Geometry.psm1"
"Get-ScapeJustifiedPadding","Geometry.psm1"
"Get-ScapeBannerVariant","Geometry.psm1"
"Initialize-ScapeKeyBindings","KeyBindings.psm1"
"Register-ScapeKeyBinding","KeyBindings.psm1"
"Unregister-ScapeKeyBinding","KeyBindings.psm1"
"Get-ScapeKeyBinding","KeyBindings.psm1"
"Get-ScapeKeyBindings","KeyBindings.psm1"
"Set-ScapeKeyBindingProfile","KeyBindings.psm1"
"Invoke-ScapeChordDetection","KeyBindings.psm1"
"Resolve-ScapeInputToAction","KeyBindings.psm1"
"Set-ScapeKeyBinding","KeyBindings.psm1"
"Export-ScapeKeyBindings","KeyBindings.psm1"
"Import-ScapeKeyBindings","KeyBindings.psm1"
"Invoke-ScapeKeyBindingAction","KeyBindings.psm1"
"Clear-ScapeDisplayList","Renderer.psm1"
"Add-ScapeDisplayList","Renderer.psm1"
"Add-ScapeDisplayListAt","Renderer.psm1"
"Out-ScapeDisplayList","Renderer.psm1"
"Initialize-ScapeRenderer","Renderer.psm1"
"Close-ScapeRenderer","Renderer.psm1"
"_GetCachedResolvedIcon","Renderer.psm1"
"Format-ScapeArtBlock","Renderer.psm1"
"Write-ScapeScrollIndicator","Renderer.psm1"
"Write-ScapeMenuLayout","Renderer.psm1"
"Write-ScapeScrollIndicatorsView","Renderer.psm1"
"Write-ScapeMenuRows","Renderer.psm1"
"Write-ScapeMenuBuffer","Renderer.psm1"
"Write-ScapeTransientView","Renderer.psm1"
"Write-ScapeTreeView","Renderer.psm1"
"Write-ScapeActionScreen","Renderer.psm1"
"Format-ScapeGridLayout","Renderer.psm1"
"Format-ScapeThemifiedMenuBuffer","Renderer.psm1"
"Initialize-ScapeViewportState","Responsivity.psm1"
"Test-ScapeViewportChanged","Responsivity.psm1"
"Get-ScapeSafeCoordinate","Responsivity.psm1"
"Set-ScapeViewportLocks","Responsivity.psm1"
"Get-ScapeViewportRange","Responsivity.psm1"
"Get-ScapeMenuData","Router.psm1"
"Invoke-ScapeRouterReducer","Router.psm1"
"Start-ScapeRouter","Router.psm1"
"Invoke-ScapeTreeUpdateEvent","StateObserver.psm1"
"Invoke-ScapeActionScreenEvent","StateObserver.psm1"
"Invoke-ScapeRedrawRequestEvent","StateObserver.psm1"
"Invoke-ScapeTransientEvent","StateObserver.psm1"
"Get-ScapePayloadField","StateObserver.psm1"
"Invoke-ScapeSelectionEvent","StateObserver.psm1"
"Request-ScapeRedraw","StateObserver.psm1"
"Initialize-ScapeStateObserver","StateObserver.psm1"
"Convert-ScapeObservedEventData","StateObserver.psm1"
"Invoke-ScapeEventBatchProcessing","StateObserver.psm1"
"Remove-ScapeStateObserver","StateObserver.psm1"
"Initialize-ScapeTheme","Theme.psm1"
"Get-ScapeIcon","Theme.psm1"
"Get-ScapeClamp","Theme.psm1"
"Get-ScapeLuminance","Theme.psm1"
"Convert-ScapeHSLToRGB","Theme.psm1"
"Convert-ScapeRGBToAnsi","Theme.psm1"
"Convert-ScapeAnsiToReset","Theme.psm1"
"Invoke-ScapeLightfy","Theme.psm1"
"Invoke-ScapeDarkfy","Theme.psm1"
"Get-ScapeSafeColor","Theme.psm1"
"Invoke-ScapeProceduralTheme","Theme.psm1"
"Invoke-ScapeDaltonismMatrix","Theme.psm1"
"Set-ScapePersona","Theme.psm1"
"Set-ScapeColorMode","Theme.psm1"
"Resolve-ScapeRawRGB","Theme.psm1"
"Resolve-ScapeThemeColor","Theme.psm1"
"Get-ScapeAnsi16SequenceForFlag","Theme.psm1"
"Format-ScapeANSIMessage","Theme.psm1"
"Get-ScapeResolvedIcon","Theme.psm1"
"Format-ScapeANSIHighlight","Theme.psm1"
"Get-ScapeConsoleDimension","TUI.psm1"
"Set-ScapeCursorPosition","TUI.psm1"
"Set-ScapeCursorVisibility","TUI.psm1"
"Read-ScapeKeyPress","TUI.psm1"
"Clear-ScapeInputBuffer","TUI.psm1"
"Clear-ScapeRegion","TUI.psm1"
"Clear-ScapeLine","TUI.psm1"
"Test-ScapeKeyAvailable","TUI.psm1"
"Read-ScapeRawKey","TUI.psm1"
"Get-ScapeInputIntent","ViewModel.psm1"
"Resolve-ScapeDynamicText","ViewModel.psm1"
"Update-ScapeMenuViewModel","ViewModel.psm1"
"Invoke-ScapeStateMutation","ViewModel.psm1"
"Get-ScapeHydratedOptions","ViewModel.psm1"
"Send-ScapeVirtualInput","ViewModel.psm1"
