"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","JFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\JFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'Metadata.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Metadata.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\Metadata.psm1",,,"False"
"36","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","NTFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\NTFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"104","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","NTFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\NTFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"215","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","NTFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\NTFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"28","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","PartitionTable.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\PartitionTable.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"77","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","PartitionTable.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\PartitionTable.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","ReFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\ReFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","UDF.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\UDF.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","XFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\XFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
